signal_date,created_at,updated_at,data_last_date_at_creation,estimated_trade_date,actual_trade_date,status,v12_signal,v17_signal,regime,net_equity_exposure,target_allocation,reason,weight_SPY,weight_SPXL,weight_SPXS,weight_TLT,weight_GLD,weight_SHY
2026-05-01,2026-05-03,2026-05-05,2026-05-05,2026-05-04,2026-05-04,ACTIVE,1.0,1.07,CALM_BULL_BOOST,1.07,"SPY 96.5%,  SPXL 3.5%",Calm-uptrend conditions met (CB only); V17-pro raises exposure to 1.07x.,0.965,0.035,0.0,0.0,0.0,0.0
2026-05-08,2026-05-08,2026-05-13,2026-05-13,2026-05-11,2026-05-11,ACTIVE,1.0,1.07,CALM_BULL_BOOST,1.07,"SPY 96.5%,  SPXL 3.5%",Calm-uptrend conditions met (CB only); V17-pro raises exposure to 1.07x.,0.965,0.035,0.0,0.0,0.0,0.0
2026-05-15,2026-05-15,2026-05-21,2026-05-20,2026-05-18,2026-05-18,ACTIVE,1.0,1.0,NORMAL,1.0,SPY 100.0%,No high-conviction trigger; baseline 100% SPY.,1.0,0.0,0.0,0.0,0.0,0.0
2026-05-22,2026-05-23,2026-05-26,2026-05-26,2026-05-26,2026-05-26,ACTIVE,1.0,1.2,STRONG_CALM_BULL,1.2,"SPY 90.0%,  SPXL 10.0%",Strong CB-only conditions met; exposure 1.20x.,0.9,0.0999999999999999,0.0,0.0,0.0,0.0
2026-05-29,2026-05-29,2026-06-03,2026-06-03,2026-06-01,2026-06-01,ACTIVE,1.0,1.2,STRONG_CALM_BULL,1.2,"SPY 90.0%,  SPXL 10.0%",Strong CB-only conditions met; exposure 1.20x.,0.9,0.0999999999999999,0.0,0.0,0.0,0.0
2026-06-05,2026-06-05,2026-06-10,2026-06-10,2026-06-08,2026-06-08,ACTIVE,1.0,1.3,NERVOUS_MARKET,1.3,"SPY 85.0%,  SPXL 15.0%",VIX >= 20 with V12 normal — elevated risk premium; exposure 1.30x.,0.85,0.15,0.0,0.0,0.0,0.0
2026-06-12,2026-06-12,2026-06-17,2026-06-16,2026-06-15,2026-06-15,ACTIVE,1.0,1.2,STRONG_CALM_BULL,1.2,"SPY 90.0%,  SPXL 10.0%",Strong CB-only conditions met; exposure 1.20x.,0.9,0.0999999999999999,0.0,0.0,0.0,0.0
2026-06-19,2026-06-20,2026-06-23,2026-06-23,2026-06-22,2026-06-22,ACTIVE,1.0,1.2,STRONG_CALM_BULL,1.2,"SPY 90.0%,  SPXL 10.0%",Strong CB-only conditions met; exposure 1.20x.,0.9,0.0999999999999999,0.0,0.0,0.0,0.0
2026-06-26,2026-06-26,2026-06-30,2026-06-30,2026-06-29,2026-06-29,ACTIVE,1.0,1.0,NORMAL,1.0,SPY 100.0%,No high-conviction trigger; baseline 100% SPY.,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-03,2026-07-04,2026-07-07,2026-07-07,2026-07-06,2026-07-06,ACTIVE,1.0,1.2,STRONG_CALM_BULL,1.2,"SPY 90.0%,  SPXL 10.0%",Strong CB-only conditions met; exposure 1.20x.,0.9,0.0999999999999999,0.0,0.0,0.0,0.0
2026-07-10,2026-07-11,2026-07-14,2026-07-14,2026-07-13,2026-07-13,ACTIVE,1.0,1.2,STRONG_CALM_BULL,1.2,"SPY 90.0%,  SPXL 10.0%",Strong CB-only conditions met; exposure 1.20x.,0.9,0.0999999999999999,0.0,0.0,0.0,0.0
2026-07-17,2026-07-18,2026-07-21,2026-07-21,2026-07-20,2026-07-20,ACTIVE,1.0,1.0,NORMAL,1.0,SPY 100.0%,No high-conviction trigger; baseline 100% SPY.,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,2026-07-25,2026-07-28,2026-07-28,2026-07-27,2026-07-27,ACTIVE,1.0,1.0,NORMAL,1.0,SPY 100.0%,No high-conviction trigger; baseline 100% SPY.,1.0,0.0,0.0,0.0,0.0,0.0
2026-07-31,2026-08-01,2026-08-04,2026-08-04,2026-08-03,2026-08-03,ACTIVE,1.0,1.2,STRONG_CALM_BULL,1.2,"SPY 90.0%,  SPXL 10.0%",Strong CB-only conditions met; exposure 1.20x.,0.9,0.0999999999999999,0.0,0.0,0.0,0.0
2026-08-07,2026-08-08,2026-08-11,2026-08-11,2026-08-10,2026-08-10,ACTIVE,1.0,1.0,NORMAL,1.0,SPY 100.0%,No high-conviction trigger; baseline 100% SPY.,1.0,0.0,0.0,0.0,0.0,0.0
2026-08-14,2026-08-15,2026-08-18,2026-08-18,2026-08-17,2026-08-17,ACTIVE,1.0,1.22,YC_BOOST,1.22,"SPY 89.0%,  SPXL 11.0%",Yield curve positive AND steepening (YC only); exposure 1.22x.,0.89,0.1099999999999999,0.0,0.0,0.0,0.0
2026-08-21,2026-08-22,2026-08-22,2026-08-21,2026-08-24,,PENDING_EXECUTION,1.0,1.22,YC_BOOST,1.22,"SPY 89.0%,  SPXL 11.0%",Yield curve positive AND steepening (YC only); exposure 1.22x.,0.89,0.10999999999999999,0.0,0.0,0.0,0.0
