new_model,base_model,period,metric,observed_delta,p_fail,bootstrap_mean_delta,n_bootstrap,block_len
v17_conservative,v12,full,total_return,8.048652174670515,0.0,17.464010626038316,10,21
v17_conservative,v12,full,sharpe,0.023666228153471858,0.2,0.01502606303992422,10,21
v17_conservative,v12,full,calmar,0.060074301785914885,0.2,0.030695634743361844,10,21
v17_conservative,v12,full,max_drawdown,-0.0008240536741596083,0.8,-0.005173290290640708,10,21
v17_conservative,v12,holdout_2021_plus,total_return,0.23184914931973788,0.0,0.21048768279510663,10,21
v17_conservative,v12,holdout_2021_plus,sharpe,0.009274774440761524,0.3,0.013930649724960725,10,21
v17_conservative,v12,holdout_2021_plus,calmar,0.06869090257784527,0.4,0.027398637802281706,10,21
v17_conservative,v12,holdout_2021_plus,max_drawdown,-0.003069117603953564,1.0,-0.009959780001020458,10,21
v17_conservative,SPY_BH,full,total_return,28.676249194973643,0.0,38.27491226800349,10,21
v17_conservative,SPY_BH,full,sharpe,0.3373838009640737,0.0,0.31363996072523975,10,21
v17_conservative,SPY_BH,full,calmar,0.5172764428903638,0.0,0.3227037576098176,10,21
v17_conservative,SPY_BH,full,max_drawdown,0.0946922106230712,0.2,0.055899789171645765,10,21
v17_conservative,SPY_BH,holdout_2021_plus,total_return,1.3287403744223654,0.1,1.3287431965987149,10,21
v17_conservative,SPY_BH,holdout_2021_plus,sharpe,0.5137178879905011,0.1,0.5462461929558656,10,21
v17_conservative,SPY_BH,holdout_2021_plus,calmar,0.8936686113067033,0.1,0.5865830332524824,10,21
v17_conservative,SPY_BH,holdout_2021_plus,max_drawdown,0.07243848108653894,0.3,0.03962501380256102,10,21
