new_model,base_model,period,metric,observed_delta,p_fail,bootstrap_mean_delta,n_bootstrap,block_len
v17_conservative,v12,full,total_return,15.506577321011278,0.005,22.663357100918645,200,21
v17_conservative,v12,full,sharpe,0.034603805915003116,0.1,0.034676675549432365,200,21
v17_conservative,v12,full,calmar,0.11062078273597165,0.17,0.05038699569227887,200,21
v17_conservative,v12,full,max_drawdown,-1.1102230246251565e-16,0.835,-0.011927833135790213,200,21
v17_conservative,v12,holdout_2021_plus,total_return,0.40533056597129846,0.015,0.5002301849770984,200,21
v17_conservative,v12,holdout_2021_plus,sharpe,-0.016253000520198402,0.625,-0.014545624483043411,200,21
v17_conservative,v12,holdout_2021_plus,calmar,0.13260968857456512,0.495,-0.001680385219485248,200,21
v17_conservative,v12,holdout_2021_plus,max_drawdown,-0.0028436037933042835,0.945,-0.019953450106944628,200,21
v17_conservative,SPY_BH,full,total_return,36.34429438027776,0.0,54.12989622907093,200,21
v17_conservative,SPY_BH,full,sharpe,0.34711033894652654,0.0,0.3403835304066451,200,21
v17_conservative,SPY_BH,full,calmar,0.5650214488327907,0.015,0.4468061415829235,200,21
v17_conservative,SPY_BH,full,max_drawdown,0.09551648923787381,0.2,0.04403482446782075,200,21
v17_conservative,SPY_BH,holdout_2021_plus,total_return,1.5133965936581721,0.01,1.6128040649116995,200,21
v17_conservative,SPY_BH,holdout_2021_plus,sharpe,0.4857070076671349,0.04,0.4910970428502175,200,21
v17_conservative,SPY_BH,holdout_2021_plus,calmar,0.940628577646372,0.025,0.7561365593290451,200,21
v17_conservative,SPY_BH,holdout_2021_plus,max_drawdown,0.07266414730407111,0.315,0.03679476884302736,200,21
