new_model,base_model,period,metric,observed_delta,p_fail,bootstrap_mean_delta,n_bootstrap,block_len
v17_conservative,v12,full,total_return,8.048645216644005,0.0,10.72058623213027,2000,21
v17_conservative,v12,full,sharpe,0.023666187786507642,0.0765,0.023419540986686662,2000,21
v17_conservative,v12,full,calmar,0.0600743034110478,0.1605,0.030471282539104493,2000,21
v17_conservative,v12,full,max_drawdown,-0.0008240482034183039,0.8795,-0.007861404988614479,2000,21
v17_conservative,v12,holdout_2021_plus,total_return,0.23184913123352757,0.027,0.25646665350195785,2000,21
v17_conservative,v12,holdout_2021_plus,sharpe,0.00927461247986594,0.356,0.010459468286624923,2000,21
v17_conservative,v12,holdout_2021_plus,calmar,0.06869093792932435,0.4675,0.008839873265333186,2000,21
v17_conservative,v12,holdout_2021_plus,max_drawdown,-0.0030691068470595217,0.97,-0.010847472570368477,2000,21
v17_conservative,SPY_BH,full,total_return,28.676237290165353,0.0,36.74817137421755,2000,21
v17_conservative,SPY_BH,full,sharpe,0.33738380476881646,0.0,0.3371014754126528,2000,21
v17_conservative,SPY_BH,full,calmar,0.5172768513502916,0.0045,0.397269218699678,2000,21
v17_conservative,SPY_BH,full,max_drawdown,0.0946923873077955,0.151,0.055841568177016826,2000,21
v17_conservative,SPY_BH,holdout_2021_plus,total_return,1.3287429361031644,0.0155,1.4210048311686074,2000,21
v17_conservative,SPY_BH,holdout_2021_plus,sharpe,0.5137187671625875,0.0245,0.5032773104164363,2000,21
v17_conservative,SPY_BH,holdout_2021_plus,calmar,0.8936722328874522,0.048,0.7773095047250624,2000,21
v17_conservative,SPY_BH,holdout_2021_plus,max_drawdown,0.07243893733214335,0.239,0.03853196301903179,2000,21
