period,model,n,total_return,cagr,annual_vol,sharpe,max_drawdown,calmar,hit_rate,avg_exposure,pct_levered,pct_short,tc_bps
full,SPY_BH,4398,11.502730232086742,0.1557317161961509,0.18280665990045555,0.8072331441151703,-0.3371726975633842,0.46187522691357685,0.5541155070486585,1.0,0.0,0.0,0.0
full,v12,4398,33.267263322215115,0.22446593181716157,0.1812103459730362,1.1313874760796852,-0.24130560733833284,0.9302143215529987,0.5570713960891315,0.9890177353342428,0.12369258753979082,0.020009095043201454,0.0
full,v17_conservative,4398,41.93569609555636,0.2403906837363925,0.18974484644777315,1.1570083697324147,-0.24210260024110486,0.9929289627496463,0.5566166439290586,1.073524329240564,0.7285129604365621,0.020009095043201454,0.0
holdout_2021_plus,SPY_BH,1348,1.1237006197814723,0.15119264038530345,0.1690643623723047,0.7174466237677529,-0.24496401230984644,0.6172034780115585,0.5459940652818991,1.0,0.0,0.0,0.0
holdout_2021_plus,v12,1348,2.2678170948542102,0.247777653845781,0.1620980340353976,1.238487144624983,-0.16727966508906378,1.4812180172279643,0.5541543026706232,0.9002225519287834,0.09643916913946587,0.05118694362017804,0.0
holdout_2021_plus,v17_conservative,1348,2.508334462330426,0.26445434276220947,0.17291049361461105,1.248327574065315,-0.17020294634922195,1.553758900387087,0.5548961424332344,0.9832789317507419,0.7574183976261127,0.05118694362017804,0.0
full,SPY_BH,4398,11.502730232086742,0.1557317161961509,0.18280665990045555,0.8072331441151703,-0.3371726975633842,0.46187522691357685,0.5541155070486585,1.0,0.0,0.0,5.0
full,v12,4398,32.13032230560809,0.22210089960615886,0.18116463653316597,1.1209507610974792,-0.2416562620521704,0.9190777748528206,0.5566166439290586,0.9890177353342428,0.12369258753979082,0.020009095043201454,5.0
full,v17_conservative,4398,40.178967522252094,0.23742509972482728,0.18969901958457416,1.1446169488839868,-0.2424803102555887,0.9791520782638684,0.5559345156889495,1.073524329240564,0.7285129604365621,0.020009095043201454,5.0
holdout_2021_plus,SPY_BH,1348,1.1237006197814723,0.15119264038530345,0.1690643623723047,0.7174466237677529,-0.24496401230984644,0.6172034780115585,0.5459940652818991,1.0,0.0,0.0,5.0
holdout_2021_plus,v12,1348,2.220594424651109,0.2443868169268506,0.1620669389791623,1.2218907784504744,-0.16945596813064356,1.4421847729696864,0.5534124629080118,0.9002225519287834,0.09643916913946587,0.05118694362017804,5.0
holdout_2021_plus,v17_conservative,1348,2.4524435558846367,0.26066394530484227,0.17287567200318302,1.2311653909303404,-0.17252507497770309,1.5108757108990107,0.5541543026706232,0.9832789317507419,0.7574183976261127,0.05118694362017804,5.0
full,SPY_BH,4398,11.502730232086742,0.1557317161961509,0.18280665990045555,0.8072331441151703,-0.3371726975633842,0.46187522691357685,0.5541155070486585,1.0,0.0,0.0,10.0
full,v12,4398,31.030641288632616,0.2197394270205697,0.1811234518189039,1.1104810514806231,-0.2420068722087897,0.9079883765903601,0.5561618917689859,0.9890177353342428,0.12369258753979082,0.020009095043201454,10.0
full,v17_conservative,4398,38.493538463045965,0.23446557143284097,0.1896575351262965,1.13219362767773,-0.24285795040173397,0.9654432603297097,0.5552523874488404,1.073524329240564,0.7285129604365621,0.020009095043201454,10.0
holdout_2021_plus,SPY_BH,1348,1.1237006197814723,0.15119264038530345,0.1690643623723047,0.7174466237677529,-0.24496401230984644,0.6172034780115585,0.5459940652818991,1.0,0.0,0.0,10.0
holdout_2021_plus,v12,1348,2.174032549078838,0.24100361492963662,0.16204358125507368,1.2052304520408765,-0.1716275485401244,1.404224537258906,0.5526706231454006,0.9002225519287834,0.09643916913946587,0.05118694362017804,10.0
holdout_2021_plus,v17_conservative,1348,2.397420144726909,0.25688332660327395,0.17284800198520978,1.2139460227804724,-0.17484167640561366,1.4692339485886226,0.5534124629080118,0.9832789317507419,0.7574183976261127,0.05118694362017804,10.0
